Besoins_Title for which search is required,For testing,Descriptif,Keywords
Développeur C++ / Murex ,X,"

Nous recherchons pour un de nos clients, un développeur C++
Département de la mission : Informatique, Système d'information
Descriptif du poste
• La prestation consiste en l’intégration de pricers au sein du progiciel Murex.
• Le langage utilisé est le C++
Compétences souhaitées
• La connaissance de Murex et des API de développement associées est indispensable (Flex API, // API, rate API).
•Des compétences fonctionnelles, notamment sur les produits dérivés et structurés de change et taux sont très fortement souhaitées.
• Une première expérience en grid computing avec DataSynapse et/ou nouvelles technologies Big Data serait un plus.
• Compétences additionnelles requises:
• C++
• Murex","C++, Murex, developpeur, agile "
Poste : Administrateur Système Windows – Linux – VMware H/F,X," Nous recherchons pour un de nos clients, un administrateur Système Windows – Linux 
 
• MCO des infrastructures.
• Elaborer les processus ITIL à mettre en œuvre avec ‘exploitant technique et l’infogérant.
• Réaliser les premières analyses et traiter les incidents, demandes, problèmes.
• Pouvoir coordonner la résolution des problèmes avec l’action des mainteneurs et de l’exploitant technique.
• Accompagner les projets d’intégration des solutions mises en œuvre par la société.
• Produire les documents d’exploitation à destination du support N1
• Effectuer les astreintes sur l’ensemble du périmètre infogéré en partenariat avec les mainteneurs.
Compétences souhaitées:
• Administration Windows Server / VMware et également Unix/Linux.
• Infogérance de systèmes critiques et sa gestion (suivi, escalade, reporting, gestion du risque).
• Elaboration et la mise en œuvre de processus ITIL.
• Gestion de la continuité de service (astreintes, SLA).
Mission
Minimum 1 an 
Tarif : à proposer","Administrateur, systeme, Windows, VMWare, System Network, Administrator"
API Business Analyst,X,"Nous recherchons pour un de nos clients, un API Business analyst
 • Avoir une expérience forte sur le design d’API au standard OAS3
• Avoir une expérience forte dans les principes RESTFUL
et leurs utilisations
• Avoir une expérience forte dans les APIs micro service et serverless
• Avoir une expérience dans les APIs Event Driven 
• Avoir une expérience dans la rédaction
et le maintien de design guidelines
• Avoir une expérience dans l’évolution
et le maintien d’un catalogue d’APIs
• Avoir une expérience dans la gouvernance
soit de Data soit dans les objets métier des APIs
• Avoir de bonnes connaissances en architecture AWS 
• Avoir une bonne vision globale du landscape API et des nouveaux assets+D291","API,
Business
Analyst, BA, gouvernance, assistante MOA, AMOA"
Data engineer,X,"Nous recherchons pour un de nos clients, un ingénieur data
Compétences souhaitées
• Connaissances techniques indispensable : 
• GCP BigQuery, Cloud Storage, Composer
•  Elastic Search ECE 6
• Maitrise de Spark et Scala
• GitLabEE
• Chaine Devops GCP
• Connaissances techniques souhaitables : 
• Horton Works Data Platform 2.6 : Hive, HDFS, Oozie, Hue
• Une connaissance de python est un plus.
Expérience de modélisation de données, et de stratégie de tests","ingenieur, data, data engineer, Horton, Works, hive, hdfs, oozie, elastic search, sparl, elasticsearch, modelisation données"
Consultant SAP Hana ,X,"Nous recherchons pour un de nos clients, un consultant Ms BI 
Compétences souhaitées:
• Modélisation BI ( conception BD)
• Optimisation des performances
• XSA
• Procédure stockées, SQL 
• ECC
•  WEBI est un plus","SAP Hana,  SQL, technique, modelisation, BI"
Développeur ROR,X,"
Nous recherchons pour un de nos clients, un developpeur ROR
Compétences souhaitées
• Connaissances de l'environnement technique suivant : Ruby, ReactJS, elastic SearchExpérience souhaitée: 5 ans 
","Ruby on Rails, ROR, developpeur, technique"
Développeur Appengine / Appscript / Python ,X,"
Nous recherchons pour un de nos clients, un developpeur appengine/Appscript
Compétences souhaitées:
• Bonne connaissances suivantes AppEngine, App script, GCP, Python, App Maker, BigQuery, Datalake","Appengine,  Appscript, Python, developpeur"
Développeur Microsoft SQL Server Senior,X,"Nous recherchons pour un de nos clients, un freelance pour une mission de développeur SQL Serveur sénior.
Contexte
• Créée il y a 6 ans, notre client est une société en pleine croissance spécialisée dans le Pricing et le Revenue Management.
•Apparu dans les années 80 dans le secteur aérien, le Revenue Management consiste à adapter les prix en fonction de l'offre disponible et de la demande prévue ; l'objectif étant de maximiser son chiffre d'affaires en trouvant le juste équilibre entre taux d’occupation et prix moyen de vente.
•Le Revenue Management est aujourd'hui en pleine expansion et s'étend à de très nombreux secteurs d'activités (hôtellerie, campings, résidences de tourisme, ferroviaire, bus, restaurants, parkings, téléphonie, publicité, théâtres, etc.) sous des formes très variées.
• Notre client accompagne ses clients issus d’une quinzaine de secteurs d'activités principalement sur 3 volets :
• Du conseil stratégique à forte valeur ajoutée en RM & Pricing et sur des projets de transformation liés à l’optimisation de la performance commerciale,
• De la création d'outils d'aide à la décision spécifiques à chaque client, dans diverses technologies : applis web, interfaces BI, reporting, workflows…
• La commercialisation des outils de RM, fondés sur une intelligence Artificielle et des algorithmes de prévision et d'optimisation développés en interne
Dans le cadre de son développement et pour accompagner sa croissance, notre client recrute un Développeur Microsoft SQL Server Senior.
Missions :
• Vous intègrerez l’équipe de développement dans un contexte de transition fort dont vous serez l’un des acteurs clés. L’enjeu de cette phase de transition sera d’industrialiser notre organisation et nos outils, avec pour objectif de garantir une croissance saine et maitrisée des effectifs et des projets. Cette transformation prendra vie au travers d’un programme structurant qui touchera tous les pends du dev (back, front, devops, méthodes et process). Vous participerez à l’élaboration de cette roadmap technique et porterez certains des projets la constituant. En parallèle de la conduite de ces projets, vous contribuerez également fortement aux développements de nos différentes applications sur votre domaine de compétences.
• Dans ce contexte nous recherchons un profil Senior avec la double casquette développeur Microsoft SQL Server et DBA
Compétences souhaitées
• Parfaitement maîtriser le fonctionnement du moteur SQL Server.
• Être aguerri aux problématiques d’optimisation et de performance.
• Maitriser SSIS (idéalement C# serait un plus).
• Avoir travaillé sur des problématiques d’industrialisation de BDD (versioning, déploiements automatisés…).
• Être capable de porter des projets avec des enjeux forts.
• Être autonome, force de proposition et savoir vous approprier des problématiques métiers complexes.
Expériences souhaitées
• Avoir 5 ans d’expériences minimum sur un poste équivalent.
","Microsoft SQL, server, developpeur, SQL, server, SSIS, autonome, technique"
Ingénieur sécurité contrôle d'accès,X,"Nous sommes à la recherche d'un freelance pour la mission suivante :

Il s’agit d’une mission longue pour une banque DS le 13 ieme

Description of the Need:
L’équipe a pour mission d’étudier, mettre en œuvre et exploiter les moyens techniques du contrôle d'accès sur le système d’information.

Le périmètre technique est le suivant :
- Fédération d'identités
- SSO
- Authentification
- Signature numérique

Contexte of the mission:
Expertise sur activité récurrente de l'équipe ""Access Control""

Description de la prestation :
Maintien en conditions opérationnelles
- Supervision des infrastructures
- Prise en charge des incidents et résolution (N3)
- Prise en charge des problèmes et résolution
- Prise en charge des demandes ponctuelles

Architecture technique
Proposition de solutions innovantes pour améliorer la sécurité, la qualité, les performances et les coûts d’exploitation

Mission objectives:
Conseil des projets Métiers
- Analyse des cahiers des charges des métiers et de SSI
- Proposition de solutions efficaces et pragmatiques pour répondre à ce besoin
- Homologation de l’implémentation Métiers
","ingenieur, securite, incident, resolution "
Chef de projet MOA,X,"Nous recherchons un chef de projet MOA afin d'accompagner la direction informatique d'un grand groupa bancaire sur les tâches suivantes:• . Définir les besoins métier et établir les spécifications fonctionnelles générales• . Participer au choix d'une solution progiciel pour répondre au besoin du back office en relation avec la MOE
• Conduire le projet, gérer le planning en lien avec la responsable de domaine, le budget et réaliser les reportings projets• . Définir au plus tôt la méthode et les moyens pédagogiques de formation des utilisateurs
• Mettre en œuvre la formation et l'accompagnement des utilisateurs en fonction de leur besoin
• Garantir le respect des délais et des coûts
• Vous êtes issu d'une école de commerce ou ingénieur bac+5• Les compétences requises pour ce poste sont
• Connaissance du secteur bancaire et des métiers du back office• .Connaissance des bases de données (oracle, sql…)
• Gestion de projet• .Sens de la planification et de l'organisation
•  Gestion des conflits et très bon relationnel","Analyse, synthèse, gestion de projet, organisation,plannification,perspicace,organisation, federateur, sql"
Product owner infrastructure data,X,"Nous recherchons pour un client• Gestion des deux fondations Cloud AWS/Azure• o Maintenir et faire évoluer ces deux écosystèmes• o Migration des assets Azure vers AWS\
• Build de nouveaux assets sur le cloud• o Roadmap 2020 : une quinzaine d’applications à migrer sur le cloud, avec mise en place d’une pipeline, terraformation complète des applications, monitoring, backup/restore, etc\
• Gestion et Évolutions des pipelines CI/CD
• Outillage DevOps : Terraform, Docker, Ansible, Jenkins, Shell, Git, EKS
• Gestion des Environnements• o Maintenir et Faire évoluer les Environnements (assurer leur alignement, garantir leur fonctionnement, communiquer les indisponibilité) et les Interfaces SI Tiers (flux, montée de version des webservices, certificats, ) et mettre en œuvre les montées de version\
• Gestion des Outils Transverses
•  Factory, CI/CD, Ticketing, outils collaboratifs, etc.
• Gestion des Composants Transverses
• Gérer les Accès aux Outils
• Animer les projets / changements & impacts / incidents / améliorations
• Gestion du Monitoring• o Mettre en place l’outillage de monitoring
• Mettre en place et Assurer la maintenance des sondes
• Alerter sur les indispos des environnements (préventifs, réactifs)
•  ELK, Grafana, Senzu/Uchiwa, Splunk
• Environnements technique : AWS (multi services), Azure, Docker, Terraform, Ansible, Jenkins, Nexus, Maven, Grafana, Senzu/Uchiwa, Splunk, AEM, Jboss, Apache, SonarQube, Gitlab, LDAP, Jira, Confluence, API Management, Oracle, MySQL, SQLServer, MariaDB, Blueprism (RPA)
• L’équipe, composée d’une trentaine de personnes, est divisée en plusieurs sous-équipes gérant chacune un périmètre propre de l’infrastructure (Build et Run). Dans cette optique, elles possèdent toutes un Product Owner dédié. En tant que Product Owner de la sous-équipe DATA , vous serez donc en charge de :
• Construire une roadmap cohérente et viable de vos produits (Product Backlog), composés de plusieurs projets qui ont pour objectif de centraliser les briques DATA/BI sur notre Cloud AWS :
•  Migration de la plateforme DATA Analytics vers notre Cloud AWS, avec des technologies suivantes : EMR, HADOOP, CASSANDRA• o Migration de l’ETL Informatica• Migration de la brique Microsoft BI• o Migration de la brique hébergeant les des données clients (XDATA), actuellement sur le Cloud Azure, vers notre cloud AWS
•  Refonte d’un ETL avec les services AWS suivants :Glue, Lambda, Dynamo DB, S3
•  Refonte du LDAP technique sur AWS
•  Maintien en condition opérationnelle des briques d’authentification, d’échange et de BI• Construire des Sprints Backlog (cycles de 2 semaines) en collaboration avec les équipes émettrices de besoins infrastructures (équipes infra, applicatives, projets, ) et arbitrer les besoins entre eux.
•  Construire une vision globale de l’infrastructure maintenir la cohérence entre les domaines infra en collaborant avec les autres PO.
•  Maintenir et faire évoluer les compétences de l’équipe afin de répondre au mieux aux besoins présents et futures tout en permettant à chacun de se réaliser dans son quotidien (transferts de compétences, innovation, dette technique, )
.•  Être disponible pour répondre aux interrogations de l’équipe DATA et des autres équipes infrastructure
.•  Assurer le lien entre les demandeurs (métiers, IT) et l’équipe• Garantir la qualité de service• Assurer le respect et la mise en œuvre des procédures• Mettre en place le reporting interne et externe• Analyser, auditer et exploiter les indicateurs par des plans d’actions• • • Compétences méthodologiques• o Expériences avec SCRUM, KANBAN et/ou SAFe
•  Cycle de vie d’un projet agile de la conception à la maintenance• • Compétences métiers / techniques :• o Connaissances des problématiques IT spécifiques aux infrastructures et à la DATA/BI
•  Connaissance d’AWS (certification AWS cloud practitioner est un plus)
•  Connaissances générales des problématiques Infrastructures, réseau et sécurité• o Connaissances générales de automatisation des process Data avec une approche CI/CD
•  Idéalement, une bonne maîtrise des infrastructures/applications orientés Data","Infrastructure,data,aws,azure,scrum"
Chef de projet MOA facturation test J,X,"Nous recherchons pour un de nos clients, un chef de projet MOA facturation","MOA, projet"
 Tech Lead Python AWS test J,X,"Nous recherchons pour un de nos clients, un tech lead
Compétences souhaitées:
Python et plus","Python,tech lead"
Développeur Javascript test J,X,"Nous recherchons pour un de nos clients, un développeur javascript 
Compétence recherchée:
• Environnement anglophone qui nécessite la maitrise de l’anglais à l’oral et à l’écrit
Nous recherchons pour un de nos clients, un développeur javascript 
Compétence recherchée:
• Environnement anglophone qui nécessite la maitrise de l’anglais à l’oral et à l’écrit
•  6 ans d'experience
",javascript
Ingénieur test J,X,"Nous recherchons pour un de nos clients un ingenieur Kotlin
 Compétences souhaitée:
• Bonne connaissance de l'environnement technique Clean, archi, Dagger, Rx
• Bonne connaissance Android et Kotlin
 Compétences souhaitée:
• Bonne connaissance de l'environnement technique Clean, archi, Dagger, Rx
• Bonne connaissance de l'environnement technique Clean, archi, Dagger, Rx

",ingenieur
chef de projet MOE test,X,javascript,"js, projet"
